County,Public,Total Number,County (Centroid),Year
Kisumu         ,SMC   ,1063,"(-0.1694587, 34.8352035)",12/31/2014 12:00:00 AM
Kitui          ,SMC   ,2634,"(-1.4910385, 38.406921)",12/31/2014 12:00:00 AM
Kwale          ,SMC   ,791,"(-4.1831495, 39.1904119)",12/31/2014 12:00:00 AM
Laikipia       ,SMC   ,338,"(0.3236041, 36.7717279)",12/31/2014 12:00:00 AM
Lamu           ,SMC   ,121,"(-2.0786825, 40.8828607)",12/31/2014 12:00:00 AM
Machakos       ,SMC   ,1358,"(-1.2795123, 37.412676)",12/31/2014 12:00:00 AM
Makueni        ,SMC   ,1399,"(-2.1576841, 37.7882456)",12/31/2014 12:00:00 AM
Mandera        ,SMC   ,170,"(3.4364695, 40.7388102)",12/31/2014 12:00:00 AM
Marsabit       ,SMC   ,162,"(2.9786588, 37.5695361)",12/31/2014 12:00:00 AM
Meru           ,SMC   ,1247,"(0.1667792, 37.7640371)",12/31/2014 12:00:00 AM
Migori         ,SMC   ,1091,"(-0.9895368, 34.3633453)",12/31/2014 12:00:00 AM
Mombasa        ,SMC   ,180,"(-4.0212562, 39.6508827)",12/31/2014 12:00:00 AM
Muranga        ,SMC   ,525,"(-0.8095905, 37.0327225)",12/31/2014 12:00:00 AM
Nairobi        ,SMC   ,766,"(-1.2934135, 36.8681893)",12/31/2014 12:00:00 AM
Nakuru         ,SMC   ,1654,"(-0.4636754, 36.0784791)",12/31/2014 12:00:00 AM
Nandi          ,SMC   ,1688,"(0.1866889, 35.1104877)",12/31/2014 12:00:00 AM
Narok          ,SMC   ,1731,"(-1.2547903, 35.5763292)",12/31/2014 12:00:00 AM
Nyamira        ,SMC   ,540,"(-0.6427324, 34.9646596)",12/31/2014 12:00:00 AM
Nyandarua      ,SMC   ,706,"(-0.3220778, 36.4828692)",12/31/2014 12:00:00 AM
Nyeri          ,SMC   ,437,"(-0.3429236, 36.9564781)",12/31/2014 12:00:00 AM
Samburu        ,SMC   ,69,"(1.3168546, 37.1183941)",12/31/2014 12:00:00 AM
Siaya          ,SMC   ,1085,"(-0.0621299, 34.2476417)",12/31/2014 12:00:00 AM
Taita Taveta   ,SMC   ,275,"(-3.434734, 38.418602)",12/31/2014 12:00:00 AM
Tana River     ,SMC   ,118,"(-1.5263666, 39.4178692)",12/31/2014 12:00:00 AM
Tharaka-Nithi  ,SMC   ,1006,"(-0.2070612, 37.8702973)",12/31/2014 12:00:00 AM
Trans Nzoia    ,SMC   ,460,"(1.0509548, 34.95742)",12/31/2014 12:00:00 AM
Turkana        ,SMC   ,652,"(3.4248492, 35.4357585)",12/31/2014 12:00:00 AM
Uasin Gishu    ,SMC   ,941,"(0.5260859, 35.3220117)",12/31/2014 12:00:00 AM
Vihiga         ,SMC   ,748,"(0.0762658, 34.722323)",12/31/2014 12:00:00 AM
Wajir          ,SMC   ,285,"(1.8081376, 40.0349856)",12/31/2014 12:00:00 AM
West Pokot     ,SMC   ,1498,"(1.7401062, 35.2438468)",12/31/2014 12:00:00 AM
Kenya          ,SMC   ,40449,,12/31/2014 12:00:00 AM
               ,Public,,,12/31/2014 12:00:00 AM
Baringo        ,Total ,5750,"(0.669252, 35.9464654)",12/31/2014 12:00:00 AM
Bomet          ,Total ,6493,"(-0.7262946, 35.2985976)",12/31/2014 12:00:00 AM
Bungoma        ,Total ,9920,"(0.7492852, 34.6404609)",12/31/2014 12:00:00 AM
Busia          ,Total ,5637,"(0.3874437, 34.1936315)",12/31/2014 12:00:00 AM
Elgeyo Marakwet,Total ,4229,"(0.8022188, 35.5365631)",12/31/2014 12:00:00 AM
Embu           ,Total ,4230,"(-0.6039744, 37.6265013)",12/31/2014 12:00:00 AM
Garissa        ,Total ,1115,"(-0.4889103, 40.1992785)",12/31/2014 12:00:00 AM
Homa Bay       ,Total ,8189,"(-0.5428094, 34.3589969)",12/31/2014 12:00:00 AM
Isiolo         ,Total ,933,"(1.0104431, 38.5421531)",12/31/2014 12:00:00 AM
Kajiado        ,Total ,3633,"(-2.1213836, 36.9088422)",12/31/2014 12:00:00 AM
Kakamega       ,Total ,12160,"(0.4036835, 34.7445112)",12/31/2014 12:00:00 AM
Kericho        ,Total ,5864,"(-0.2957329, 35.31407)",12/31/2014 12:00:00 AM
Kiambu         ,Total ,7067,"(-1.0687061, 36.8235643)",12/31/2014 12:00:00 AM
Kilifi         ,Total ,6374,"(-3.175732, 39.6866876)",12/31/2014 12:00:00 AM
Kirinyaga      ,Total ,2824,"(-0.5247463, 37.3198681)",12/31/2014 12:00:00 AM
Kisii          ,Total ,8623,"(-0.7746038, 34.774723)",12/31/2014 12:00:00 AM
Kisumu         ,Total ,6883,"(-0.1694587, 34.8352035)",12/31/2014 12:00:00 AM
Kitui          ,Total ,11215,"(-1.4910385, 38.406921)",12/31/2014 12:00:00 AM
Kwale          ,Total ,4247,"(-4.1831495, 39.1904119)",12/31/2014 12:00:00 AM
Laikipia       ,Total ,2652,"(0.3236041, 36.7717279)",12/31/2014 12:00:00 AM
Lamu           ,Total ,948,"(-2.0786825, 40.8828607)",12/31/2014 12:00:00 AM
Machakos       ,Total ,9136,"(-1.2795123, 37.412676)",12/31/2014 12:00:00 AM
Makueni        ,Total ,8865,"(-2.1576841, 37.7882456)",12/31/2014 12:00:00 AM
Mandera        ,Total ,1212,"(3.4364695, 40.7388102)",12/31/2014 12:00:00 AM
Marsabit       ,Total ,1319,"(2.9786588, 37.5695361)",12/31/2014 12:00:00 AM
Meru           ,Total ,9058,"(0.1667792, 37.7640371)",12/31/2014 12:00:00 AM
Migori         ,Total ,6639,"(-0.9895368, 34.3633453)",12/31/2014 12:00:00 AM
Mombasa        ,Total ,1824,"(-4.0212562, 39.6508827)",12/31/2014 12:00:00 AM
Muranga        ,Total ,5961,"(-0.8095905, 37.0327225)",12/31/2014 12:00:00 AM
Nairobi        ,Total ,5044,"(-1.2934135, 36.8681893)",12/31/2014 12:00:00 AM
Nakuru         ,Total ,9573,"(-0.4636754, 36.0784791)",12/31/2014 12:00:00 AM
Nandi          ,Total ,7061,"(0.1866889, 35.1104877)",12/31/2014 12:00:00 AM
Narok          ,Total ,5842,"(-1.2547903, 35.5763292)",12/31/2014 12:00:00 AM
Nyamira        ,Total ,4515,"(-0.6427324, 34.9646596)",12/31/2014 12:00:00 AM
Nyandarua      ,Total ,4074,"(-0.3220778, 36.4828692)",12/31/2014 12:00:00 AM
Nyeri          ,Total ,4507,"(-0.3429236, 36.9564781)",12/31/2014 12:00:00 AM
Samburu        ,Total ,1095,"(1.3168546, 37.1183941)",12/31/2014 12:00:00 AM
Siaya          ,Total ,6894,"(-0.0621299, 34.2476417)",12/31/2014 12:00:00 AM
Taita Taveta   ,Total ,2244,"(-3.434734, 38.418602)",12/31/2014 12:00:00 AM
Tana River     ,Total ,1280,"(-1.5263666, 39.4178692)",12/31/2014 12:00:00 AM
Tharaka-Nithi  ,Total ,4279,"(-0.2070612, 37.8702973)",12/31/2014 12:00:00 AM
Trans Nzoia    ,Total ,4804,"(1.0509548, 34.95742)",12/31/2014 12:00:00 AM
Turkana        ,Total ,2231,"(3.4248492, 35.4357585)",12/31/2014 12:00:00 AM
Uasin Gishu    ,Total ,5415,"(0.5260859, 35.3220117)",12/31/2014 12:00:00 AM
Vihiga         ,Total ,4768,"(0.0762658, 34.722323)",12/31/2014 12:00:00 AM
